Tiempo ,Entrada,ANGULO,POSICION
5.3,0.0,0.497,0.263
5.32,0.0,0.518,0.263
5.34,0.0,0.532,0.263
5.36,0.0,0.539,0.263
5.38,0.0,0.539,0.263
5.4,0.0,0.531,0.263
5.42,0.0,0.513,0.263
5.44,0.0,0.49,0.263
5.46,0.0,0.459,0.263
5.48,0.0,0.424,0.263
5.5,0.0,0.38,0.263
5.52,0.0,0.332,0.263
5.54,0.0,0.279,0.263
5.56,0.0,0.222,0.263
5.58,0.0,0.161,0.263
5.6,0.0,0.099,0.263
5.62,0.0,0.037,0.263
5.64,0.0,-0.028,0.263
5.66,0.0,-0.093,0.263
5.68,0.0,-0.155,0.263
5.7,0.0,-0.215,0.263
5.72,0.0,-0.272,0.263
5.74,0.0,-0.326,0.263
5.76,0.0,-0.375,0.263
5.78,0.0,-0.417,0.263
5.8,0.0,-0.456,0.263
5.82,0.0,-0.487,0.263
5.84,0.0,-0.511,0.263
5.86,0.0,-0.527,0.263
5.88,0.0,-0.538,0.263
5.9,0.0,-0.539,0.263
5.92,0.0,-0.536,0.263
5.94,0.0,-0.522,0.263
5.96,0.0,-0.503,0.263
5.98,0.0,-0.475,0.263
6.0,0.0,-0.44,0.263
6.02,0.0,-0.4,0.263
6.04,0.0,-0.354,0.263
6.06,0.0,-0.304,0.263
6.08,0.0,-0.248,0.263
6.1,0.0,-0.188,0.263
6.12,0.0,-0.129,0.263
6.14,0.0,-0.065,0.263
6.16,0.0,-0.0,0.263
6.18,0.0,0.063,0.263
6.2,0.0,0.126,0.263
6.22,0.0,0.187,0.263
6.24,0.0,0.244,0.263
6.26,0.0,0.3,0.263
6.28,0.0,0.351,0.263
6.3,0.0,0.398,0.263
6.32,0.0,0.436,0.263
6.34,0.0,0.471,0.263
6.36,0.0,0.497,0.263
6.38,0.0,0.518,0.263
6.4,0.0,0.531,0.263
6.42,0.0,0.536,0.263
6.44,0.0,0.536,0.263
6.46,0.0,0.525,0.263
6.48,0.0,0.508,0.263
6.5,0.0,0.483,0.263
6.52,0.0,0.454,0.263
6.54,0.0,0.415,0.263
6.56,0.0,0.372,0.263
6.58,0.0,0.323,0.263
6.6,0.0,0.269,0.263
6.62,0.0,0.213,0.263
6.64,0.0,0.152,0.263
6.66,0.0,0.091,0.263
6.68,0.0,0.028,0.263
6.7,0.0,-0.037,0.263
6.72,0.0,-0.101,0.263
6.74,0.0,-0.162,0.263
6.76,0.0,-0.222,0.263
6.78,0.0,-0.278,0.263
6.8,0.0,-0.33,0.263
6.82,0.0,-0.379,0.263
6.84,0.0,-0.421,0.263
6.86,0.0,-0.457,0.263
6.88,0.0,-0.489,0.263
6.9,0.0,-0.511,0.263
6.92,0.0,-0.527,0.263
6.94,0.0,-0.534,0.263
6.96,0.0,-0.538,0.263
6.98,0.0,-0.531,0.263
7.0,0.0,-0.517,0.263
7.02,0.0,-0.496,0.263
7.04,0.0,-0.468,0.263
7.06,0.0,-0.433,0.263
7.08,0.0,-0.391,0.263
7.1,0.0,-0.346,0.263
7.12,0.0,-0.295,0.263
7.14,0.0,-0.239,0.263
7.16,0.0,-0.18,0.263
7.18,0.0,-0.119,0.263
7.2,0.0,-0.056,0.263
7.22,0.0,0.009,0.263
7.24,0.0,0.072,0.263
7.26,0.0,0.133,0.263
7.28,0.0,0.194,0.263
7.3,0.0,0.251,0.263
7.32,0.0,0.305,0.263
7.34,0.0,0.356,0.263
7.36,0.0,0.4,0.263
7.38,0.0,0.44,0.263
7.4,0.0,0.473,0.263
7.42,0.0,0.499,0.263
7.44,0.0,0.517,0.263
7.46,0.0,0.529,0.263
7.48,0.0,0.534,0.263
7.5,0.0,0.532,0.263
7.52,0.0,0.52,0.263
7.54,0.0,0.503,0.263
7.56,0.0,0.478,0.263
7.58,0.0,0.445,0.263
7.6,0.0,0.407,0.263
7.62,0.0,0.363,0.263
7.64,0.0,0.314,0.263
7.66,0.0,0.26,0.263
7.68,0.0,0.204,0.263
7.7,0.0,0.143,0.263
7.72,0.0,0.082,0.263
7.74,0.0,0.017,0.263
7.76,0.0,-0.045,0.263
7.78,0.0,-0.108,0.263
7.8,0.0,-0.169,0.263
7.82,0.0,-0.229,0.263
7.84,0.0,-0.284,0.263
7.86,0.0,-0.335,0.263
7.88,0.0,-0.382,0.263
7.9,0.0,-0.424,0.263
