Tiempo ,ANGULO,ESTIMULO
11.96,0.67,1.7
11.98,0.66,1.7
12,0.648,1.7
12.02,0.634,1.7
12.04,0.621,1.7
12.06,0.609,1.7
12.08,0.595,1.7
12.1,0.583,1.7
12.12,0.571,1.7
12.14,0.559,1.7
12.16,0.546,1.7
12.18,0.534,1.7
12.2,0.524,1.7
12.22,0.513,1.7
12.24,0.503,1.7
12.26,0.492,1.7
12.28,0.483,1.7
12.3,0.475,1.7
12.32,0.468,1.7
12.34,0.461,1.7
12.36,0.456,1.7
12.38,0.452,1.7
12.4,0.447,1.7
12.42,0.445,1.7
12.44,0.443,1.7
12.46,0.442,1.7
12.48,0.442,1.7
12.5,0.443,1.7
12.52,0.445,1.7
12.54,0.449,1.7
12.56,0.452,1.7
12.58,0.457,1.7
12.6,0.463,1.7
12.62,0.469,1.7
12.64,0.476,1.7
12.66,0.485,1.7
12.68,0.494,1.7
12.7,0.503,1.7
12.72,0.513,1.7
12.74,0.522,1.7
12.76,0.534,1.7
12.78,0.545,1.7
12.8,0.555,1.7
12.82,0.567,1.7
12.84,0.578,1.7
12.86,0.59,1.7
12.88,0.6,1.7
12.9,0.613,1.7
12.92,0.623,1.7
12.94,0.634,1.7
12.96,0.644,1.7
12.98,0.654,1.7
13,0.665,1.7
13.02,0.674,1.7
13.04,0.682,1.7
13.06,0.689,1.7
13.08,0.696,1.7
13.1,0.703,1.7
13.12,0.709,1.7
13.14,0.714,1.7
13.16,0.719,1.7
13.18,0.723,1.7
13.2,0.724,1.7
13.22,0.726,1.7
13.24,0.726,1.7
13.26,0.726,1.7
13.28,0.726,1.7
13.3,0.724,1.7
13.32,0.723,1.7
13.34,0.719,1.7
13.36,0.714,1.7
13.38,0.71,1.7
13.4,0.705,1.7
13.42,0.698,1.7
13.44,0.691,1.7
13.46,0.684,1.7
13.48,0.677,1.7
13.5,0.668,1.7
13.52,0.66,1.7
13.54,0.651,1.7
13.56,0.641,1.7
13.58,0.632,1.7
13.6,0.621,1.7
13.62,0.611,1.7
13.64,0.6,1.7
13.66,0.59,1.7
13.68,0.579,1.7
13.7,0.571,1.7
13.72,0.56,1.7
13.74,0.55,1.7
13.76,0.541,1.7
13.78,0.532,1.7
13.8,0.524,1.7
13.82,0.515,1.7
13.84,0.506,1.7
13.86,0.499,1.7
13.88,0.492,1.7
13.9,0.487,1.7
13.92,0.482,1.7
13.94,0.476,1.7
13.96,0.473,1.7
13.98,0.469,1.7
14,0.468,1.7
14.02,0.466,1.7
14.04,0.466,1.7
14.06,0.466,1.7
14.08,0.466,1.7
14.1,0.468,1.7
14.12,0.469,1.7
14.14,0.473,1.7
14.16,0.476,1.7
14.18,0.482,1.7
14.2,0.487,1.7
14.22,0.492,1.7
14.24,0.499,1.7
14.26,0.506,1.7
14.28,0.513,1.7
14.3,0.522,1.7
14.32,0.531,1.7
14.34,0.539,1.7
14.36,0.548,1.7
14.38,0.557,1.7
14.4,0.565,1.7
14.42,0.576,1.7
14.44,0.585,1.7
14.46,0.593,1.7
14.48,0.602,1.7
14.5,0.613,1.7
14.52,0.621,1.7
14.54,0.628,1.7
14.56,0.637,1.7
14.58,0.646,1.7
14.6,0.653,1.7
14.62,0.66,1.7
14.64,0.665,1.7
14.66,0.672,1.7
14.68,0.677,1.7
14.7,0.681,1.7
14.72,0.686,1.7
14.74,0.689,1.7
14.76,0.691,1.7
14.78,0.693,1.7
14.8,0.695,1.7
14.82,0.696,1.7
14.84,0.696,1.7
14.86,0.695,1.7
14.88,0.693,1.7
14.9,0.691,1.7
14.92,0.689,1.7
14.94,0.686,1.7
14.96,0.682,1.7
14.98,0.677,1.7
15,0.672,1.7
15.02,0.667,1.7
15.04,0.661,1.7
15.06,0.654,1.7
15.08,0.648,1.7
15.1,0.641,1.7
15.12,0.634,1.7
15.14,0.625,1.7
15.16,0.618,1.7
15.18,0.609,1.7
15.2,0.6,1.7
15.22,0.592,1.7
15.24,0.585,1.7
15.26,0.576,1.7
15.28,0.567,1.7
15.3,0.56,1.7
15.32,0.552,1.7
15.34,0.545,1.7
15.36,0.538,1.7
15.38,0.531,1.7
15.4,0.524,1.7
15.42,0.518,1.7
15.44,0.511,1.7
15.46,0.506,1.7
15.48,0.503,1.7
15.5,0.499,1.7
15.52,0.496,1.7
15.54,0.492,1.7
15.56,0.49,1.7
15.58,0.489,1.7
15.6,0.487,1.7
15.62,0.487,1.7
15.64,0.487,1.7
15.66,0.489,1.7
15.68,0.489,1.7
15.7,0.492,1.7
15.72,0.494,1.7
15.74,0.497,1.7
15.76,0.501,1.7
15.78,0.506,1.7
15.8,0.511,1.7
15.82,0.517,1.7
15.84,0.522,1.7
15.86,0.527,1.7
15.88,0.534,1.7
15.9,0.541,1.7
15.92,0.548,1.7
15.94,0.555,1.7
15.96,0.562,1.7
15.98,0.569,1.7
16,0.578,1.7
16.02,0.585,1.7
16.04,0.592,1.7
16.06,0.599,1.7
16.08,0.607,1.7
16.1,0.614,1.7
16.12,0.62,1.7
16.14,0.627,1.7
16.16,0.634,1.7
16.18,0.639,1.7
16.2,0.644,1.7
16.22,0.649,1.7
16.24,0.654,1.7
16.26,0.658,1.7
16.28,0.663,1.7
16.3,0.667,1.7
16.32,0.668,1.7
16.34,0.67,1.7
16.36,0.672,1.7
16.38,0.674,1.7
16.4,0.674,1.7
16.42,0.675,1.7
16.44,0.674,1.7
16.46,0.674,1.7
16.48,0.672,1.7
16.5,0.67,1.7
16.52,0.667,1.7
16.54,0.663,1.7
16.56,0.66,1.7
16.58,0.656,1.7
16.6,0.651,1.7
16.62,0.648,1.7
16.64,0.642,1.7
16.66,0.637,1.7
16.68,0.63,1.7
16.7,0.625,1.7
16.72,0.618,1.7
16.74,0.611,1.7
16.76,0.606,1.7
16.78,0.599,1.7
16.8,0.592,1.7
16.82,0.585,1.7
16.84,0.579,1.7
16.86,0.572,1.7
16.88,0.567,1.7
16.9,0.56,1.7
16.92,0.555,1.7
16.94,0.55,1.7
16.96,0.545,1.7
16.98,0.539,1.7
17,0.534,1.7
17.02,0.531,1.7
17.04,0.527,1.7
17.06,0.524,1.7
17.08,0.52,1.7
17.1,0.518,1.7
17.12,0.517,1.7
17.14,0.515,1.7
17.16,0.515,1.7
17.18,0.513,1.7
17.2,0.513,1.7
17.22,0.515,1.7
17.24,0.515,1.7
17.26,0.517,1.7
17.28,0.518,1.7
17.3,0.522,1.7
17.32,0.524,1.7
17.34,0.527,1.7
17.36,0.531,1.7
17.38,0.536,1.7
17.4,0.539,1.7
17.42,0.545,1.7
17.44,0.55,1.7
17.46,0.555,1.7
17.48,0.56,1.7
17.5,0.565,1.7
17.52,0.571,1.7
17.54,0.578,1.7
17.56,0.583,1.7
17.58,0.588,1.7
17.6,0.595,1.7
17.62,0.6,1.7
17.64,0.606,1.7
17.66,0.613,1.7
17.68,0.618,1.7
17.7,0.623,1.7
17.72,0.627,1.7
17.74,0.632,1.7
17.76,0.637,1.7
17.78,0.641,1.7
17.8,0.644,1.7
17.82,0.648,1.7
17.84,0.651,1.7
17.86,0.653,1.7
17.88,0.656,1.7
17.9,0.658,1.7
17.92,0.658,1.7
17.94,0.66,1.7
17.96,0.66,1.7
17.98,0.66,1.7
18,0.66,1.7
18.02,0.658,1.7
18.04,0.658,1.7
18.06,0.656,1.7
18.08,0.653,1.7
18.1,0.651,1.7
18.12,0.648,1.7
18.14,0.644,1.7
18.16,0.641,1.7
18.18,0.637,1.7
18.2,0.632,1.7
18.22,0.628,1.7
18.24,0.623,1.7
18.26,0.618,1.7
18.28,0.613,1.7
18.3,0.607,1.7
18.32,0.602,1.7
18.34,0.597,1.7
18.36,0.59,1.7
18.38,0.585,1.7
18.4,0.579,1.7
18.42,0.574,1.7
18.44,0.569,1.7
18.46,0.564,1.7
18.48,0.559,1.7
18.5,0.553,1.7
18.52,0.548,1.7
18.54,0.545,1.7
18.56,0.541,1.7
18.58,0.536,1.7
18.6,0.532,1.7
18.62,0.531,1.7
18.64,0.527,1.7
18.66,0.525,1.7
18.68,0.524,1.7
18.7,0.522,1.7
18.72,0.522,1.7
18.74,0.52,1.7
18.76,0.52,1.7
18.78,0.522,1.7
18.8,0.522,1.7
18.82,0.524,1.7
18.84,0.525,1.7
18.86,0.527,1.7
18.88,0.529,1.7
18.9,0.532,1.7
18.92,0.536,1.7
18.94,0.539,1.7
18.96,0.543,1.7
18.98,0.546,1.7
19,0.552,1.7
19.02,0.555,1.7
19.04,0.56,1.7
19.06,0.565,1.7
19.08,0.569,1.7
19.1,0.574,1.7
19.12,0.579,1.7
19.14,0.585,1.7
19.16,0.59,1.7
19.18,0.595,1.7
19.2,0.599,1.7
19.22,0.604,1.7
19.24,0.609,1.7
19.26,0.613,1.7
19.28,0.618,1.7
19.3,0.621,1.7
19.32,0.625,1.7
19.34,0.628,1.7
19.36,0.632,1.7
19.38,0.635,1.7
19.4,0.637,1.7
19.42,0.639,1.7
19.44,0.641,1.7
19.46,0.642,1.7
19.48,0.644,1.7
19.5,0.644,1.7
19.52,0.646,1.7
19.54,0.646,1.7
19.56,0.644,1.7
19.58,0.644,1.7
19.6,0.642,1.7
19.62,0.642,1.7
19.64,0.639,1.7
19.66,0.637,1.7
19.68,0.635,1.7
19.7,0.632,1.7
19.72,0.63,1.7
19.74,0.627,1.7
19.76,0.623,1.7
19.78,0.618,1.7
19.8,0.614,1.7
19.82,0.611,1.7
19.84,0.606,1.7
19.86,0.602,1.7
19.88,0.597,1.7
19.9,0.593,1.7
19.92,0.588,1.7
19.94,0.583,1.7
19.96,0.579,1.7
19.98,0.574,1.7
20,0.571,1.7
20.02,0.567,1.7
20.04,0.562,1.7
20.06,0.559,1.7
20.08,0.555,1.7
20.1,0.552,1.7
20.12,0.548,1.7
20.14,0.545,1.7
20.16,0.543,1.7
20.18,0.541,1.7
20.2,0.538,1.7
20.22,0.536,1.7
20.24,0.536,1.7
20.26,0.534,1.7
20.28,0.532,1.7
20.3,0.532,1.7
20.32,0.532,1.7
20.34,0.532,1.7
20.36,0.534,1.7
20.38,0.534,1.7
20.4,0.536,1.7
20.42,0.538,1.7
20.44,0.539,1.7
20.46,0.541,1.7
20.48,0.545,1.7
20.5,0.546,1.7
20.52,0.55,1.7
20.54,0.553,1.7
20.56,0.555,1.7
20.58,0.559,1.7
20.6,0.562,1.7
20.62,0.567,1.7
20.64,0.571,1.7
20.66,0.574,1.7
20.68,0.578,1.7
20.7,0.583,1.7
20.72,0.586,1.7
20.74,0.59,1.7
20.76,0.593,1.7
20.78,0.599,1.7
20.8,0.602,1.7
20.82,0.606,1.7
20.84,0.609,1.7
20.86,0.613,1.7
20.88,0.616,1.7
20.9,0.618,1.7
20.92,0.621,1.7
20.94,0.623,1.7
20.96,0.625,1.7
20.98,0.627,1.7
21,0.628,1.7
21.02,0.63,1.7
21.04,0.632,1.7
21.06,0.632,1.7
21.08,0.632,1.7
21.1,0.632,1.7
21.12,0.632,1.7
21.14,0.632,1.7
21.16,0.63,1.7
21.18,0.63,1.7
21.2,0.628,1.7
21.22,0.627,1.7
21.24,0.625,1.7
21.26,0.621,1.7
21.28,0.62,1.7
21.3,0.616,1.7
21.32,0.614,1.7
21.34,0.611,1.7
21.36,0.607,1.7
21.38,0.604,1.7
21.4,0.6,1.7
21.42,0.597,1.7
21.44,0.593,1.7
21.46,0.59,1.7
21.48,0.586,1.7
21.5,0.583,1.7
21.52,0.579,1.7
21.54,0.576,1.7
21.56,0.574,1.7
21.58,0.571,1.7
21.6,0.567,1.7
21.62,0.564,1.7
21.64,0.56,1.7
21.66,0.559,1.7
21.68,0.555,1.7
21.7,0.553,1.7
21.72,0.552,1.7
21.74,0.55,1.7
21.76,0.548,1.7
21.78,0.546,1.7
21.8,0.545,1.7
21.82,0.545,1.7
21.84,0.543,1.7
21.86,0.543,1.7
21.88,0.543,1.7
21.9,0.543,1.7
21.92,0.543,1.7
21.94,0.545,1.7
21.96,0.545,1.7
21.98,0.546,1.7
