Tiempo ;CONTROL;REI;VELOCIDAD;ANGULO;REFERENCIA;PERTURBACION;;;;;;;;
3,64;1,637;1,637;0,044;0,56;0,6;0;;;;;;;;
3,66;1,636;1,636;0,044;0,562;0,6;0;;;;;;;;
3,68;1,638;1,638;0,044;0,562;0,6;0;;;;;;;;
3,7;1,638;1,638;0,044;0,564;0,6;0;;;;;;;;
3,72;1,64;1,64;0,044;0,564;0,6;0;;;;;;;;
3,74;1,673;1,673;0,017;0,564;0,6;0;;;;;;;;
3,76;1,658;1,658;0,029;0,565;0,6;0;;;;;;;;
3,78;1,647;1,647;0,04;0,565;0,6;0;;;;;;;;
3,8;1,642;1,642;0,044;0,567;0,6;0;;;;;;;;
3,82;1,643;1,643;0,044;0,567;0,6;0;;;;;;;;
3,84;1,676;1,676;0,018;0,567;0,6;0;;;;;;;;
3,86;1,661;1,661;0,03;0,569;0,6;0;;;;;;;;
3,88;1,65;1,65;0,04;0,569;0,6;0;;;;;;;;
3,9;1,645;1,645;0,044;0,571;0,6;0;;;;;;;;
3,92;1,646;1,646;0,044;0,571;0,6;0;;;;;;;;
3,94;1,679;1,679;0,018;0,571;0,6;0;;;;;;;;
3,96;1,664;1,664;0,03;0,572;0,6;0;;;;;;;;
3,98;1,653;1,653;0,04;0,572;0,6;0;;;;;;;;
4;1,681;1,681;0,017;0,572;0,6;0;;;;;;;;
4,02;1,665;1,665;0,03;0,574;0,6;0;;;;;;;;
4,04;1,654;1,654;0,04;0,574;0,6;0;;;;;;;;
4,06;1,683;1,683;0,017;0,574;0,6;0;;;;;;;;
4,08;1,7;1,7;0,004;0,574;0,6;0;;;;;;;;
4,1;1,673;1,673;0,026;0,576;0,6;0;;;;;;;;
4,12;1,657;1,657;0,04;0,576;0,6;0;;;;;;;;
4,14;1,685;1,685;0,018;0,576;0,6;0;;;;;;;;
4,16;1,668;1,668;0,03;0,578;0,6;0;;;;;;;;
4,18;1,658;1,658;0,04;0,578;0,6;0;;;;;;;;
4,2;1,686;1,686;0,017;0,578;0,6;0;;;;;;;;
4,22;1,67;1,67;0,03;0,579;0,6;0;;;;;;;;
4,24;1,658;1,658;0,04;0,579;0,6;0;;;;;;;;
4,26;1,687;1,687;0,017;0,579;0,6;0;;;;;;;;
4,28;1,67;1,67;0,03;0,581;0,6;0;;;;;;;;
4,3;1,659;1,659;0,04;0,581;0,6;0;;;;;;;;
4,32;1,687;1,687;0,017;0,581;0,6;0;;;;;;;;
4,34;1,671;1,671;0,03;0,583;0,6;0;;;;;;;;
4,36;1,659;1,659;0,04;0,583;0,6;0;;;;;;;;
4,38;1,688;1,688;0,017;0,583;0,6;0;;;;;;;;
4,4;1,705;1,705;0,004;0,583;0,6;0;;;;;;;;
4,42;1,677;1,677;0,026;0,585;0,6;0;;;;;;;;
4,44;1,661;1,661;0,04;0,585;0,6;0;;;;;;;;
4,46;1,688;1,688;0,018;0,585;0,6;0;;;;;;;;
4,48;1,706;1,706;0,004;0,585;0,6;0;;;;;;;;
4,5;1,677;1,677;0,026;0,586;0,6;0;;;;;;;;
4,52;1,661;1,661;0,04;0,586;0,6;0;;;;;;;;
4,54;1,689;1,689;0,018;0,586;0,6;0;;;;;;;;
4,56;1,706;1,706;0,004;0,586;0,6;0;;;;;;;;
4,58;1,712;1,712;0;0,586;0,6;0;;;;;;;;
4,6;1,713;1,713;-0,001;0,586;0,6;0;;;;;;;;
4,62;1,679;1,679;0,026;0,588;0,6;0;;;;;;;;
4,64;1,662;1,662;0,041;0,588;0,6;0;;;;;;;;
4,66;1,69;1,69;0,018;0,588;0,6;0;;;;;;;;
4,68;1,707;1,707;0,004;0,588;0,6;0;;;;;;;;
4,7;1,713;1,713;0;0,588;0,6;0;;;;;;;;
4,72;1,714;1,714;-0,001;0,588;0,6;0;;;;;;;;
4,74;1,68;1,68;0,026;0,59;0,6;0;;;;;;;;
4,76;1,663;1,663;0,041;0,59;0,6;0;;;;;;;;
4,78;1,691;1,691;0,018;0,59;0,6;0;;;;;;;;
4,8;1,708;1,708;0,004;0,59;0,6;0;;;;;;;;
4,82;1,714;1,714;0;0,59;0,6;0;;;;;;;;
4,84;1,681;1,681;0,026;0,592;0,6;0;;;;;;;;
4,86;1,663;1,663;0,04;0,592;0,6;0;;;;;;;;
4,88;1,691;1,691;0,018;0,592;0,6;0;;;;;;;;
4,9;1,708;1,708;0,004;0,592;0,6;0;;;;;;;;
4,92;1,714;1,714;0;0,592;0,6;0;;;;;;;;
4,94;1,68;1,68;0,026;0,593;0,6;0;;;;;;;;
4,96;1,663;1,663;0,04;0,593;0,6;0;;;;;;;;
4,98;1,69;1,69;0,018;0,593;0,6;0;;;;;;;;
5;1,707;1,707;0,004;0,593;0,6;0;;;;;;;;
5,02;1,713;1,713;0;0,593;0,6;0;;;;;;;;
5,04;1,714;1,714;-0,001;0,593;0,6;0;;;;;;;;
5,06;1,714;1,714;0;0,593;0,6;0;;;;;;;;
5,08;1,714;1,714;0;0,593;0,6;0;;;;;;;;
5,1;1,714;1,714;0;0,593;0,6;0;;;;;;;;
5,12;1,714;1,714;0;0,593;0,6;0;;;;;;;;
5,14;1,68;1,68;0,026;0,595;0,6;0;;;;;;;;
5,16;1,663;1,663;0,041;0,595;0,6;0;;;;;;;;
5,18;1,691;1,691;0,018;0,595;0,6;0;;;;;;;;
5,2;1,708;1,708;0,004;0,595;0,6;0;;;;;;;;
5,22;1,714;1,714;0;0,595;0,6;0;;;;;;;;
5,24;1,714;1,714;-0,001;0,595;0,6;0;;;;;;;;
5,26;1,714;1,714;0;0,595;0,6;0;;;;;;;;
5,28;1,714;1,714;0;0,595;0,6;0;;;;;;;;
5,3;1,68;1,68;0,026;0,597;0,6;0;;;;;;;;
5,32;1,663;1,663;0,041;0,597;0,6;0;;;;;;;;
5,34;1,69;1,69;0,018;0,597;0,6;0;;;;;;;;
5,36;1,707;1,707;0,004;0,597;0,6;0;;;;;;;;
5,38;1,713;1,713;0;0,597;0,6;0;;;;;;;;
5,4;1,714;1,714;-0,001;0,597;0,6;0;;;;;;;;
5,42;1,713;1,713;0;0,597;0,6;0;;;;;;;;
5,44;1,713;1,713;0;0,597;0,6;0;;;;;;;;
5,46;1,713;1,713;0;0,597;0,6;0;;;;;;;;
5,48;1,713;1,713;0;0,597;0,6;0;;;;;;;;
5,5;1,713;1,713;0;0,597;0,6;0;;;;;;;;
5,52;1,679;1,679;0,026;0,599;0,6;0;;;;;;;;
5,54;1,662;1,662;0,041;0,599;0,6;0;;;;;;;;
5,56;1,689;1,689;0,018;0,599;0,6;0;;;;;;;;
5,58;1,707;1,707;0,004;0,599;0,6;0;;;;;;;;
5,6;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,62;1,712;1,712;-0,001;0,599;0,6;0;;;;;;;;
5,64;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,66;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,68;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,7;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,72;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,74;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,76;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,78;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,8;1,712;1,712;0;0,599;0,6;0;;;;;;;;
5,82;1,746;1,746;-0,026;0,597;0,6;0;;;;;;;;
5,84;1,764;1,764;-0,041;0,597;0,6;0;;;;;;;;
5,86;1,736;1,736;-0,018;0,597;0,6;0;;;;;;;;
5,88;1,72;1,72;-0,004;0,597;0,6;0;;;;;;;;
5,9;1,714;1,714;0;0,597;0,6;0;;;;;;;;
5,92;1,714;1,714;0,001;0,597;0,6;0;;;;;;;;
5,94;1,715;1,715;0;0,597;0,6;0;;;;;;;;
5,96;1,715;1,715;0;0,597;0,6;0;;;0,333333333;-0,5;;;;
5,98;1,716;1,716;0;0,597;0,6;0;;max;min;;;;;
6;1,716;1,716;0;0,597;0,6;0;;0,602;0,597;;;;;
