Tiempo ,Entrada,ANGULO,POSICION
6.46,0.0,0.541,0.272
6.48,0.0,0.52,0.272
6.5,0.0,0.49,0.272
6.52,0.0,0.456,0.272
6.54,0.0,0.415,0.272
6.56,0.0,0.368,0.272
6.58,0.0,0.314,0.272
6.6,0.0,0.258,0.272
6.62,0.0,0.197,0.272
6.64,0.0,0.134,0.272
6.66,0.0,0.068,0.272
6.68,0.0,0.002,0.272
6.7,0.0,-0.065,0.272
6.72,0.0,-0.129,0.272
6.74,0.0,-0.192,0.272
6.76,0.0,-0.253,0.272
6.78,0.0,-0.311,0.272
6.8,0.0,-0.363,0.272
6.82,0.0,-0.412,0.272
6.84,0.0,-0.454,0.272
6.86,0.0,-0.489,0.272
6.88,0.0,-0.518,0.272
6.9,0.0,-0.539,0.272
6.92,0.0,-0.552,0.272
6.94,0.0,-0.559,0.272
6.96,0.0,-0.559,0.272
6.98,0.0,-0.548,0.272
7.0,0.0,-0.531,0.272
7.02,0.0,-0.506,0.272
7.04,0.0,-0.475,0.272
7.06,0.0,-0.436,0.272
7.08,0.0,-0.391,0.272
7.1,0.0,-0.34,0.272
7.12,0.0,-0.284,0.272
7.14,0.0,-0.227,0.272
7.16,0.0,-0.164,0.272
7.18,0.0,-0.099,0.272
7.2,0.0,-0.033,0.272
7.22,0.0,0.033,0.272
7.24,0.0,0.098,0.272
7.26,0.0,0.162,0.272
7.28,0.0,0.225,0.272
7.3,0.0,0.283,0.272
7.32,0.0,0.339,0.272
7.34,0.0,0.387,0.272
7.36,0.0,0.431,0.272
7.38,0.0,0.471,0.272
7.4,0.0,0.503,0.272
7.42,0.0,0.527,0.272
7.44,0.0,0.543,0.272
7.46,0.0,0.553,0.272
7.48,0.0,0.555,0.272
7.5,0.0,0.55,0.272
7.52,0.0,0.536,0.272
7.54,0.0,0.513,0.272
7.56,0.0,0.485,0.272
7.58,0.0,0.45,0.272
7.6,0.0,0.407,0.272
7.62,0.0,0.36,0.272
7.64,0.0,0.307,0.272
7.66,0.0,0.25,0.272
7.68,0.0,0.188,0.272
7.7,0.0,0.124,0.272
7.72,0.0,0.061,0.272
7.74,0.0,-0.005,0.272
7.76,0.0,-0.072,0.272
7.78,0.0,-0.136,0.272
7.8,0.0,-0.199,0.272
7.82,0.0,-0.26,0.272
7.84,0.0,-0.316,0.272
7.86,0.0,-0.368,0.272
7.88,0.0,-0.415,0.272
7.9,0.0,-0.456,0.272
7.92,0.0,-0.49,0.272
