=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2023.05.10 11:06:14 =~=~=~=~=~=~=~=~=~=~=~=



Tiempo ,REI,V_ANGULA,V_CARRIT,ANGULO,CARRITO,REFERENC

 -0.400,0,0,0,0,0,0
 -0.380,0,0,0,0,0,0
 -0.360,0,0,0,0,0,0
 -0.340,0,0,0,0,0,0
 -0.320,0,0,0,0,0,0
 -0.300,0,0,0,0,0,0
 -0.280,0,0,0,0,0,0
 -0.260,0,0,0,0,0,0
 -0.240,0,0,0,0,0,0
 -0.220,0,0,0,0,0,0
 -0.200,0,0,0,0,0,0
 -0.180,0,0,0,0,0,0
 -0.160,0,0,0,0,0,0
 -0.140,0,0,0,0,0,0
 -0.120,0,0,0,0,0,0
 -0.100,0,0,0,0,0,0
 -0.080,0,0,0,0,0,0
 -0.060,0,0,0,0,0,0
 -0.040,0,0,0,0,0,0
  4.240, 2.071, 0.027, 0.056, 0.023, 0.434, 0.500
  4.260, 1.982,-0.165, 0.061, 0.016, 0.435, 0.500
  4.280, 2.021,-0.057, 0.055, 0.021, 0.436, 0.500
  4.300, 1.951, 0.054, 0.051, 0.017, 0.437, 0.500
  4.320, 1.927,-0.125, 0.055, 0.016, 0.438, 0.500
  4.340, 1.920, 0.032, 0.051, 0.019, 0.439, 0.500
  4.360, 1.820,-0.077, 0.055, 0.012, 0.440, 0.500
  4.380, 1.817,-0.141, 0.057, 0.014, 0.441, 0.500
  4.400, 1.791,-0.003, 0.048, 0.012, 0.442, 0.500
  4.420, 1.770,-0.033, 0.047, 0.012, 0.443, 0.500
  4.440, 1.715,-0.002, 0.052, 0.012, 0.444, 0.500
  4.460, 1.694,-0.086, 0.048, 0.009, 0.445, 0.500
  4.480, 1.709,-0.005, 0.044, 0.012, 0.446, 0.500
  4.500, 1.614,-0.038, 0.048, 0.007, 0.447, 0.500
  4.520, 1.626,-0.091, 0.047, 0.009, 0.448, 0.500
  4.540, 1.615, 0.086, 0.041, 0.010, 0.449, 0.500
  4.560, 1.580, 0.013, 0.043, 0.009, 0.450, 0.500
  4.580, 1.567,-0.006, 0.046, 0.010, 0.451, 0.500
  4.600, 1.542,-0.001, 0.042, 0.009, 0.451, 0.500
  4.620, 1.548, 0.000, 0.040, 0.010, 0.452, 0.500
  4.640, 1.485, 0.000, 0.044, 0.009, 0.453, 0.500
  4.660, 1.441,-0.133, 0.047, 0.005, 0.454, 0.500
  4.680, 1.464,-0.009, 0.040, 0.009, 0.455, 0.500
  4.700, 1.422, 0.055, 0.037, 0.007, 0.456, 0.500
  4.720, 1.397,-0.040, 0.042, 0.007, 0.456, 0.500
  4.740, 1.375,-0.007, 0.041, 0.007, 0.457, 0.500
  4.760, 1.374, 0.003, 0.037, 0.007, 0.458, 0.500
  4.780, 1.341, 0.001, 0.039, 0.007, 0.459, 0.500
  4.800, 1.269,-0.089, 0.045, 0.003, 0.460, 0.500
  4.820, 1.265,-0.095, 0.042, 0.003, 0.460, 0.500
  4.840, 1.267, 0.046, 0.034, 0.005, 0.461, 0.500
  4.860, 1.239, 0.055, 0.035, 0.005, 0.462, 0.500
  4.880, 1.210,-0.000, 0.039, 0.005, 0.463, 0.500
