Tiempo ;REI;V_ANGULA;V_CARRIT;ANGULO;CARRITO;REFERENC;;;;;;;;
3,66;1,882;0,079;0,047;0,024;0,449;0,5;;;;;;;;
3,68;1,699;-0,028;0,048;0,021;0,45;0,5;;;;;;;;
3,7;1,683;-0,053;0,05;0,023;0,451;0,5;;;;;;;;
3,72;1,672;-0,001;0,046;0,021;0,452;0,5;;;;;;;;
3,74;1,614;-0,04;0,046;0,021;0,453;0,5;;;;;;;;
3,76;1,524;-0,047;0,05;0,019;0,454;0,5;;;;;;;;
3,78;1,37;-0,133;0,048;0,016;0,454;0,5;;;;;;;;
3,8;1,607;0,04;0,04;0,021;0,455;0,5;;;;;;;;
3,82;1,446;0,013;0,041;0,016;0,456;0,5;;;;;;;;
3,84;1,375;-0,091;0,044;0,017;0,457;0,5;;;;;;;;
3,86;1,458;0,037;0,04;0,017;0,458;0,5;;;;;;;;
3,88;1,344;-0,035;0,04;0,016;0,459;0,5;;;;;;;;
3,9;1,291;-0,05;0,043;0,016;0,459;0,5;;;;;;;;
3,92;1,162;-0,089;0,044;0,012;0,46;0,5;;;;;;;;
3,94;1,236;-0,046;0,037;0,014;0,461;0,5;;;;;;;;
3,96;1,226;0,004;0,033;0,012;0,462;0,5;;;;;;;;
3,98;1,152;-0,04;0,038;0,012;0,462;0,5;;;;;;;;
4;1,155;-0,003;0,038;0,012;0,463;0,5;;;;;;;;
4,02;1,086;-0,041;0,034;0,01;0,464;0,5;;;;;;;;
4,04;1,135;-0,002;0,033;0,012;0,464;0,5;;;;;;;;
4,06;1,067;0,003;0,036;0,01;0,465;0,5;;;;;;;;
4,08;0,858;-0,133;0,039;0,007;0,466;0,5;;;;;;;;
4,1;0,945;-0,053;0,036;0,009;0,467;0,5;;;;;;;;
4,12;1,028;0,052;0,029;0,009;0,467;0,5;;;;;;;;
4,14;1,127;0,097;0,026;0,012;0,468;0,5;;;;;;;;
4,16;1,094;0,091;0,029;0,012;0,468;0,5;;;;;;;;
4,18;0,922;-0,047;0,034;0,01;0,469;0,5;;;;;;;;
4,2;0,896;-0,055;0,034;0,01;0,47;0,5;;;;;;;;
4,22;0,929;0;0,03;0,01;0,47;0,5;;;;;;;;
4,24;0,921;0,005;0,028;0,01;0,471;0,5;;;;;;;;
4,26;0,817;-0,044;0,031;0,009;0,472;0,5;;;;;;;;
4,28;0,706;-0,092;0,035;0,007;0,472;0,5;;;;;;;;
4,3;0,731;-0,047;0,032;0,007;0,473;0,5;;;;;;;;
4,32;0,772;0,005;0,026;0,007;0,473;0,5;;;;;;;;
4,34;0,911;0,093;0,022;0,01;0,474;0,5;;;;;;;;
4,36;0,898;0,094;0,022;0,01;0,474;0,5;;;;;;;;
4,38;0,793;-0,002;0,027;0,01;0,475;0,5;;;;;;;;
4,4;0,683;-0,052;0,031;0,009;0,475;0,5;;;;;;;;
4,42;0,675;-0,048;0,029;0,009;0,476;0,5;;;;;;;;
4,44;0,717;0,001;0,024;0,009;0,476;0,5;;;;;;;;
4,46;0,714;0,004;0,021;0,009;0,477;0,5;;;;;;;;
4,48;0,762;0,045;0,022;0,01;0,477;0,5;;;;;;;;
4,5;0,811;0,091;0,023;0,012;0,478;0,5;;;;;;;;
4,52;0,679;0,002;0,027;0,01;0,478;0,5;;;;;;;;
4,54;0,618;-0,052;0,028;0,01;0,479;0,5;;;;;;;;
4,56;0,578;-0,048;0,025;0,009;0,479;0,5;;;;;;;;
4,58;0,581;-0,043;0,021;0,009;0,48;0,5;;;;;;;;
4,6;0,676;0,046;0,019;0,01;0,48;0,5;;;;;;;;
4,62;0,663;0,051;0,02;0,01;0,48;0,5;;;;;;;;
4,64;0,599;0;0,023;0,01;0,481;0,5;;;;;;;;
4,66;0,495;-0,049;0,026;0,009;0,482;0,5;;;;;;;;
4,68;0,484;-0,047;0,025;0,009;0,482;0,5;;;;;;;;
4,7;0,521;0,001;0,02;0,009;0,482;0,5;;;;;;;;
4,72;0,519;0,004;0,018;0,009;0,483;0,5;;;;;;;;
4,74;0,586;0,045;0,016;0,01;0,483;0,5;;;;;;;;
4,76;0,585;0,047;0,014;0,01;0,483;0,5;;;;;;;;
4,78;0,596;0,044;0,017;0,012;0,484;0,5;;;;;;;;
4,8;0,568;0,043;0,02;0,012;0,484;0,5;;;;;;;;
4,82;0,37;-0,09;0,024;0,009;0,485;0,5;;;;;;;;
4,84;0,28;-0,143;0,023;0,007;0,485;0,5;;;;;;;;
4,86;0,348;-0,046;0,019;0,007;0,485;0,5;;;;;;;;
4,88;0,388;0,009;0,016;0,007;0,486;0,5;;;;;;;;
4,9;0,378;0,004;0,015;0,007;0,486;0,5;;;;;;;;
4,92;0,367;0;0,015;0,007;0,486;0,5;;;;;;;;
4,94;0,435;0,044;0,013;0,009;0,486;0,5;;;;;;;;
4,96;0,503;0,092;0,011;0,01;0,487;0,5;;;;;;;;
4,98;0,453;0,047;0,014;0,01;0,487;0,5;;;;;;;;
5;0,391;-0,005;0,017;0,01;0,487;0,5;;;;;;;;
5,02;0,305;-0,049;0,018;0,009;0,488;0,5;;;;;;;;
5,04;0,299;-0,047;0,017;0,009;0,488;0,5;;;;;;;;
5,06;0,26;-0,043;0,015;0,007;0,488;0,5;;;;;;;;
5,08;0,26;-0,043;0,013;0,007;0,489;0,5;;;;;;;;
5,1;0,289;0,001;0,011;0,007;0,489;0,5;;;;;;;;
5,12;0,283;0,004;0,011;0,007;0,489;0,5;;;;;;;;
5,14;0,346;0,045;0,011;0,009;0,489;0,5;;;;;;;;
5,16;0,346;0,047;0,009;0,009;0,489;0,5;;;;;;;;
5,18;0,304;-0,001;0,01;0,009;0,49;0,5;;;;;;;;
5,2;0,284;-0,004;0,012;0,009;0,49;0,5;;;;;;;;
5,22;0,27;0;0,014;0,009;0,49;0,5;;;;;;;;
5,24;0,189;-0,044;0,014;0,007;0,49;0,5;;;;;;;;
5,26;0,099;-0,092;0,016;0,005;0,491;0,5;;;;;;;;
5,28;0,059;-0,091;0,014;0,003;0,491;0,5;;;;;;;;
5,3;0,1;-0,043;0,01;0,003;0,491;0,5;;;;;;;;
5,32;0,137;0,005;0,008;0,003;0,491;0,5;;;;;;;;
5,34;0,139;0,004;0,007;0,003;0,492;0,5;;;;;;;;
5,36;0,199;0,044;0,007;0,005;0,492;0,5;;;;;;;;
5,38;0,198;0,047;0,007;0,005;0,492;0,5;;;;;;;;
5,4;0,234;0,044;0,006;0,007;0,492;0,5;;;;;;;;
5,42;0,231;0,043;0,006;0,007;0,492;0,5;;;;;;;;
5,44;0,192;-0,001;0,007;0,007;0,492;0,5;;;;;;;;
5,46;0,183;-0,004;0,007;0,007;0,492;0,5;;;;;;;;
5,48;0,178;0;0,008;0,007;0,493;0,5;;;;;;;;
5,5;0,177;0;0,007;0,007;0,493;0,5;;;;;;;;
5,52;0,177;0;0,006;0,007;0,493;0,5;;;;;;;;
5,54;0,174;0;0,006;0,007;0,493;0,5;;;;;;;;
5,56;0,17;0;0,006;0,007;0,493;0,5;;;;;;;;
5,58;0,163;0;0,007;0,007;0,493;0,5;;;;;;;;
5,6;0,153;0;0,008;0,007;0,493;0,5;;;;;;;;
5,62;0,148;0;0,008;0,007;0,493;0,5;;;;;;;;
5,64;0,071;-0,044;0,008;0,005;0,494;0,5;;;;;;;;
5,66;-0,007;-0,092;0,009;0,003;0,494;0,5;;;;;;;;
5,68;0,038;-0,047;0,005;0,003;0,494;0,5;;;;;;;;
5,7;0,089;0,005;0,001;0,003;0,494;0,5;;;;;;;;
5,72;0,157;0,049;0,001;0,005;0,494;0,5;;;;;;;;
5,74;0,145;0,047;0,004;0,005;0,494;0,5;;;;;;;;
