Tiempo ;CONTROL;PID;ANGULO;REFERENCIA;PERTURBACION;;;;;;;
4,44;1,72;1,72;0,532;0,6;0;;;;;;;
4,46;1,718;1,718;0,532;0,6;0;;;;;;;
4,48;1,718;1,718;0,532;0,6;0;;;;;;;
4,5;1,673;1,673;0,534;0,6;0;;;;;;;
4,52;1,642;1,642;0,536;0,6;0;;;;;;;
4,54;1,619;1,619;0,538;0,6;0;;;;;;;
4,56;1,603;1,603;0,539;0,6;0;;;;;;;
4,58;1,547;1,547;0,543;0,6;0;;;;;;;
4,6;1,551;1,551;0,545;0,6;0;;;;;;;
4,62;1,509;1,509;0,548;0,6;0;;;;;;;
4,64;1,523;1,523;0,55;0,6;0;;;;;;;
4,66;1,489;1,489;0,553;0,6;0;;;;;;;
4,68;1,463;1,463;0,557;0,6;0;;;;;;;
4,7;1,444;1,444;0,56;0,6;0;;;;;;;
4,72;1,475;1,475;0,562;0,6;0;;;;;;;
4,74;1,452;1,452;0,565;0,6;0;;;;;;;
4,76;1,479;1,479;0,567;0,6;0;;;;;;;
4,78;1,499;1,499;0,569;0,6;0;;;;;;;
4,8;1,513;1,513;0,571;0,6;0;;;;;;;
4,82;1,522;1,522;0,572;0,6;0;;;;;;;
4,84;1,574;1,574;0,572;0,6;0;;;;;;;
4,86;1,566;1,566;0,574;0,6;0;;;;;;;
4,88;1,605;1,605;0,574;0,6;0;;;;;;;
4,9;1,633;1,633;0,574;0,6;0;;;;;;;
4,92;1,654;1,654;0,574;0,6;0;;;;;;;
4,94;1,669;1,669;0,574;0,6;0;;;;;;;
4,96;1,68;1,68;0,574;0,6;0;;;;;;;
4,98;1,733;1,733;0,572;0,6;0;;;;;;;
5;1,727;1,727;0,572;0,6;0;;;;;;;
5,02;1,768;1,768;0,571;0,6;0;;;;;;;
5,04;1,753;1,753;0,571;0,6;0;;;;;;;
5,06;1,743;1,743;0,571;0,6;0;;;;;;;
5,08;1,736;1,736;0,571;0,6;0;;;;;;;
5,1;1,776;1,776;0,569;0,6;0;;;;;;;
5,12;1,761;1,761;0,569;0,6;0;;;;;;;
5,14;1,705;1,705;0,571;0,6;0;;;;;;;
5,16;1,71;1,71;0,571;0,6;0;;;;;;;
5,18;1,714;1,714;0,571;0,6;0;;;;;;;
5,2;1,672;1,672;0,572;0,6;0;;;;;;;
5,22;1,642;1,642;0,574;0,6;0;;;;;;;
5,24;1,62;1,62;0,576;0,6;0;;;;;;;
5,26;1,604;1,604;0,578;0,6;0;;;;;;;
5,28;1,593;1,593;0,579;0,6;0;;;;;;;
5,3;1,629;1,629;0,579;0,6;0;;;;;;;
5,32;1,61;1,61;0,581;0,6;0;;;;;;;
5,34;1,596;1,596;0,583;0,6;0;;;;;;;
5,36;1,586;1,586;0,585;0,6;0;;;;;;;
5,38;1,578;1,578;0,586;0,6;0;;;;;;;
5,4;1,572;1,572;0,588;0,6;0;;;;;;;
5,42;1,567;1,567;0,59;0,6;0;;;;;;;
5,44;1,608;1,608;0,59;0,6;0;;;;;;;
5,46;1,593;1,593;0,592;0,6;0;;;;;;;
5,48;1,626;1,626;0,592;0,6;0;;;;;;;
5,5;1,605;1,605;0,593;0,6;0;;;;;;;
5,52;1,635;1,635;0,593;0,6;0;;;;;;;
5,54;1,656;1,656;0,593;0,6;0;;;;;;;
5,56;1,671;1,671;0,593;0,6;0;;;;;;;
5,58;1,727;1,727;0,592;0,6;0;;;;;;;
5,6;1,723;1,723;0,592;0,6;0;;;;;;;
5,62;1,72;1,72;0,592;0,6;0;;;;;;;
5,64;1,763;1,763;0,59;0,6;0;;;;;;;
5,66;1,749;1,749;0,59;0,6;0;;;;;;;
5,68;1,74;1,74;0,59;0,6;0;;;;;;;
5,7;1,778;1,778;0,588;0,6;0;;;;;;;
5,72;1,761;1,761;0,588;0,6;0;;;;;;;
5,74;1,749;1,749;0,588;0,6;0;;;;;;;
5,76;1,74;1,74;0,588;0,6;0;;;;;;;
5,78;1,735;1,735;0,588;0,6;0;;;;;;;
5,8;1,731;1,731;0,588;0,6;0;;;;;;;
5,82;1,683;1,683;0,59;0,6;0;;;;;;;
5,84;1,693;1,693;0,59;0,6;0;;;;;;;
5,86;1,656;1,656;0,592;0,6;0;;;;;;;
5,88;1,673;1,673;0,592;0,6;0;;;;;;;
5,9;1,641;1,641;0,593;0,6;0;;;;;;;
5,92;1,662;1,662;0,593;0,6;0;;;;;;;
5,94;1,633;1,633;0,595;0,6;0;;;;;;;
5,96;1,611;1,611;0,597;0,6;0;;;;;;;
5,98;1,64;1,64;0,597;0,6;0;;;;;;;
6;1,616;1,616;0,599;0,6;0;;;;;;;
6,02;1,643;1,643;0,599;0,6;0;;;;;;;
6,04;1,617;1,617;0,6;0,6;0;;;;;;;
6,06;1,643;1,643;0,6;0,6;0;;;;;;;
6,08;1,662;1,662;0,6;0,6;0;;;;;;;
6,1;1,675;1,675;0,6;0,6;0;;;;;;;
6,12;1,685;1,685;0,6;0,6;0;;;;;;;
6,14;1,692;1,692;0,6;0,6;0;;;;;;;
6,16;1,696;1,696;0,6;0,6;0;;;;;;;
6,18;1,7;1,7;0,6;0,6;0;;;;;;;
6,2;1,702;1,702;0,6;0,6;0;;;;;;;
6,22;1,704;1,704;0,6;0,6;0;;;;;;;
6,24;1,751;1,751;0,599;0,6;0;;;;;;;
6,26;1,739;1,739;0,599;0,6;0;;;;;;;
6,28;1,731;1,731;0,599;0,6;0;;;;;;;
6,3;1,725;1,725;0,599;0,6;0;;;;;;;
6,32;1,766;1,766;0,597;0,6;0;;;;;;;
6,34;1,751;1,751;0,597;0,6;0;;;;;;;
6,36;1,74;1,74;0,597;0,6;0;;;;;;;
6,38;1,733;1,733;0,597;0,6;0;;;;;;;
6,4;1,727;1,727;0,597;0,6;0;;;;;;;
6,42;1,723;1,723;0,597;0,6;0;;;;;;;
6,44;1,721;1,721;0,597;0,6;0;;;;;;;
6,46;1,674;1,674;0,599;0,6;0;;;;;;;
6,48;1,685;1,685;0,599;0,6;0;;;;;;;
6,5;1,692;1,692;0,599;0,6;0;;;;;;;
